source,target
000F03E44A,01EBAA3D0F
000F03E44A,02EECADFE6
000F03E44A,1C4665B740
000F03E44A,268A868E38
000F03E44A,2791AFFA12
000F03E44A,283E6BD7FF
000F03E44A,2F63B0EE20
000F03E44A,4774C089CA
000F03E44A,487926887C
000F03E44A,57D0C5916A
000F03E44A,5A5B5CC478
000F03E44A,5ED1A1DEB4
000F03E44A,71E8C02B1A
000F03E44A,7571EA0116
000F03E44A,7D48C168B3
000F03E44A,96AD55E474
000F03E44A,995D6B6C92
000F03E44A,9E3D0E7F50
000F03E44A,A7BC78E695
000F03E44A,A864979D3D
000F03E44A,B7D36E4B91
000F03E44A,B8F3A35930
000F03E44A,C22B08730F
000F03E44A,CF851F9D05
000F03E44A,9608F27C4D
000F03E44A,EEFB21D12B
000F03E44A,F7ED8A9A8C
000F03E44A,1C0AE3E10C
000F03E44A,9A9F63379E
000F03E44A,BA6E1B1FB4
000F03E44A,0080644746
000F03E44A,2E0CA58847
000F03E44A,33EA4BF6E9
000F03E44A,A0ECC5DBE5
000F03E44A,7A193CFDAB
000F03E44A,E5849C4673
000F03E44A,8F726BF561
002816BA73,05870C6994
002816BA73,667E63F3BC
002816BA73,7D29798181
002816BA73,85630A8BAA
002816BA73,C30C25CDA5
002816BA73,CC35F3E6A1
002816BA73,D6F0487E3E
002816BA73,FC94397B9D
002816BA73,3845CA9FE8
002816BA73,CFA3039DF1
002816BA73,4A2D564D9B
003473B465,161867AF15
003473B465,2AF934A41E
003473B465,3DE5786D97
003473B465,468982150B
003473B465,5095698AC0
003473B465,68FD248F73
003473B465,80EC87C6D8
003473B465,94502BA9DC
003473B465,D77841D9B4
003473B465,E7A25A394B
003473B465,D669157A58
003473B465,320A02A60D
003473B465,812202E747
003473B465,0A4491652C
003473B465,FEAAE06C47
003AC99735,0D2FB82EB4
003AC99735,105CC28499
003AC99735,162D2613BC
003AC99735,1DF52E7C5F
003AC99735,20AFB06A43
003AC99735,228EDD81BA
003AC99735,2A0922EAA7
003AC99735,2EA62B1198
003AC99735,2FE9A7B0B7
003AC99735,383948C8CC
003AC99735,433F5BCED5
003AC99735,439035A9EB
003AC99735,45AFE0281E
003AC99735,45D355879A
003AC99735,4BB1D5083E
003AC99735,6A8CEC476E
003AC99735,6B3AA25B77
003AC99735,81789768D6
003AC99735,83452EE395
003AC99735,86129404BB
003AC99735,86B7149C4A
003AC99735,877441E8F5
003AC99735,9215C7F055
003AC99735,9734D7A3A7
003AC99735,9B97EB469A
003AC99735,A364FF986F
003AC99735,B215092E54
003AC99735,C432317FC6
003AC99735,CEF5C00333
003AC99735,D4DF58F26D
003AC99735,DF334CC79E
003AC99735,E48396576D
003AC99735,49C5A0B4DF
003AC99735,6780FF33B7
003AC99735,A248404D2E
003AC99735,F290935883
003AC99735,F46D45E328
003AC99735,2B355A80CB
003AC99735,A5FE1B0CC9
003AC99735,EE056F4A46
003AC99735,ABB4516DD1
003AC99735,36BBE40E4D
003AC99735,47C8C40086
0041E4E5AE,090DD25F79
0041E4E5AE,0AF7BD60A5
0041E4E5AE,1395C1AB53
0041E4E5AE,13C3C13D99
0041E4E5AE,162D2613BC
0041E4E5AE,19D3456A64
0041E4E5AE,1A185BC72B
0041E4E5AE,1B554AAC24
0041E4E5AE,1CB111F32B
0041E4E5AE,1DF52E7C5F
0041E4E5AE,20AFB06A43
0041E4E5AE,228EDD81BA
0041E4E5AE,23E72E19E5
0041E4E5AE,2FE9A7B0B7
0041E4E5AE,3466CE84BF
0041E4E5AE,383948C8CC
0041E4E5AE,3F3922C8C3
0041E4E5AE,40555676A3
0041E4E5AE,4118B90D6E
0041E4E5AE,420DCCAD41
0041E4E5AE,433F5BCED5
0041E4E5AE,45AFE0281E
0041E4E5AE,4BB1D5083E
0041E4E5AE,508830F630
0041E4E5AE,50E5564482
0041E4E5AE,5840B960CE
0041E4E5AE,622D27CE49
0041E4E5AE,6A8CEC476E
0041E4E5AE,6B3AA25B77
0041E4E5AE,6C3AFD20C1
0041E4E5AE,811C8862F1
0041E4E5AE,81789768D6
0041E4E5AE,83452EE395
0041E4E5AE,844C36220E
0041E4E5AE,8452B8C46E
0041E4E5AE,90C18D7863
0041E4E5AE,96029D2561
0041E4E5AE,A3550D0BEC
0041E4E5AE,A9F6CC9185
0041E4E5AE,C42A4207F3
0041E4E5AE,C7323D89BF
0041E4E5AE,C7A37F14A6
0041E4E5AE,CEF5C00333
0041E4E5AE,D6F7A9FA64
0041E4E5AE,DF334CC79E
0041E4E5AE,E27C1862C9
0041E4E5AE,E48396576D
0041E4E5AE,E8E65B04C4
0041E4E5AE,E9CCC6C53D
0041E4E5AE,6780FF33B7
0041E4E5AE,F290935883
0041E4E5AE,FD69236F45
0041E4E5AE,2B355A80CB
0041E4E5AE,2B2AD47693
0041E4E5AE,4B3D70F3C7
0041E4E5AE,56DDDE972B
0041E4E5AE,B5985767EC
0041E4E5AE,554B8B39CF
0041E4E5AE,A5FE1B0CC9
0041E4E5AE,EE056F4A46
0041E4E5AE,515A6733F3
0041E4E5AE,9FF4B1EA10
0041E4E5AE,DBC4830070
0041E4E5AE,47C8C40086
0041E4E5AE,24AA9CA0A5
0041E4E5AE,66EE334562
0041E4E5AE,A6EB992C6A
0041E4E5AE,65EF268E18
0041E4E5AE,A66E664F52
0041E4E5AE,FFE9F1CC6A
0050D68B18,0E15C8A398
0050D68B18,1CEA3BFC5B
0050D68B18,543C4A9834
0050D68B18,667F7D3E48
0050D68B18,6A690D39D5
0050D68B18,C83F9C3B91
0050D68B18,E6BF54CE96
00646B6673,1AB3F0C3B0
00646B6673,39D9285E8D
00646B6673,4BF0C08F5F
00646B6673,4BF4E76EB1
00646B6673,50FB1F6C45
00646B6673,5828134AC4
00646B6673,5DC3FB1D5F
00646B6673,5F6A947002
00646B6673,61D516DBB4
00646B6673,673E2D3411
00646B6673,674011F2F1
00646B6673,6821430102
00646B6673,6BF23575B6
00646B6673,6E8A1269CE
00646B6673,77912A90AA
00646B6673,8F2E3CF4D7
00646B6673,B4FE75E894
00646B6673,B6660D3A83
00646B6673,B7970DDBAC
00646B6673,B7BB25BF59
00646B6673,B9CF9A1A80
00646B6673,BB508E9B60
00646B6673,BF9A1F66F9
00646B6673,DFE96F9825
00646B6673,E0A583DB58
00646B6673,E25C0935BB
00646B6673,E4A76A9E0C
00646B6673,FD00BD4D69
00646B6673,FE826E7775
00646B6673,E7BA575772
00646B6673,9A56B5D116
00646B6673,018DD7E495
00A2CF886A,033F56E9A8
