latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,ENCODED_MCT
0.23911169,-0.16731161,-0.20430204,-0.31842133,-0.100512736,-0.033223897,0.034736626,0.64190716,-0.10256693,1.0732596,0.09017889,0.5577395,0.41822273,0.24932453,-0.1298583,0.16574073,000F03E44A
-0.06253584,0.3824468,0.19718093,-0.10191882,0.21132278,-0.12904024,0.1606261,0.24352522,-0.17174661,-0.19575039,0.06722549,-0.26158902,0.08577851,0.60908556,0.14261872,-0.17061423,002816BA73
-0.9505459,0.23253126,-0.14363793,0.05995946,-0.009537786,-0.40498567,0.8166195,0.30042562,0.23189878,-0.0068065785,0.10724368,0.3701424,-0.26814926,0.47223642,-0.26710162,-0.07080673,003473B465
0.08737891,-0.0719131,0.074772954,0.696067,0.6976134,0.09800968,0.26309323,0.07317849,0.080390364,-0.09490254,-0.25255144,-0.08518604,-0.21460068,-0.46718612,0.31294477,-0.40861842,003AC99735
-0.04169228,0.33111286,0.02369006,0.16600609,0.2818733,0.14364257,0.32381824,-0.27781233,-0.114077166,-0.2824803,-0.6416328,0.24052733,-0.5945186,-0.4620658,0.52076066,0.065075494,0041E4E5AE
0.13145223,0.4008743,0.817729,-0.42244264,-0.07262728,-0.24313553,-0.44703808,0.37439343,-0.37557808,-0.37153178,-0.004110381,0.055732764,-0.3294,-0.78628474,0.5394697,-0.09341358,0050D68B18
-0.40497333,0.1363369,-0.3951796,-0.27472496,0.21348146,0.30447137,-0.59826624,-0.3492086,0.19460638,-0.14513808,0.32165015,0.44749236,0.0699347,-0.09607367,-0.097156346,0.00384558,00646B6673
-0.6280114,0.4774599,0.17270635,-0.29299355,0.14659518,0.25921744,0.16209902,0.8327628,-0.44233593,0.011710722,0.29557753,-0.3378336,0.09845567,0.5954124,0.09440458,0.16564389,00A2CF886A
0.14846846,-0.3170628,0.1425741,0.12730008,0.3166043,0.29161882,0.19007343,0.11356871,0.32899785,-0.025954269,-0.09483358,-0.29082924,0.112285584,1.2854265,-0.14564091,0.109548256,00BC189C4B
-0.24658313,0.2517725,0.48191053,-0.32784384,-0.018950395,-0.060911216,0.35006642,0.38638046,-0.20680887,-0.08145625,-0.14564076,0.015180288,-0.09470263,0.13143179,0.14453898,0.79772615,00CEAAD71A
-0.03165982,-0.46720153,-0.24845949,-0.22179484,0.32426465,-0.6112565,0.172258,0.21078008,0.12893978,0.19273499,-0.06493825,-0.0015887003,-0.34797433,-0.41446948,-0.031894606,-0.50998574,00DA1813DE
0.04793535,-0.12799786,0.24504153,-0.50616175,0.03440979,-0.24087991,-0.6065822,-0.026599713,-0.41576466,0.22605374,0.077062145,0.21372628,-0.041214515,-0.3069015,-0.8295644,0.063419566,00FDB35E9C
0.76383644,0.26303536,-1.3445971,0.37926033,0.9884008,0.6256523,0.0046375506,-0.46134907,-0.21279848,0.62583554,-0.16265994,0.29490897,-1.0831075,0.9121646,0.3086183,0.3641692,011E53BB76
0.103001975,0.55288726,0.0955067,-0.575146,0.26747507,0.15550509,-0.28983316,-0.065874234,-0.34479305,-0.23857597,-0.26864886,-0.18673545,0.012454912,-0.19024035,0.10456916,0.07221493,012A64A73B
0.23986638,0.65273017,-0.4871603,-0.4642444,0.18628067,0.27358538,-0.20669971,-0.05930941,0.0006616134,-0.40063182,0.33221692,-0.0847077,-0.5929174,-0.3492453,-0.700754,0.23217925,01670CF403
0.052396152,0.41184884,0.43196493,0.23105748,-0.3246186,0.51060915,0.17684075,0.087445155,-0.26435503,0.002943635,0.13963324,-0.19024844,0.49078104,-0.14810523,0.6007262,-0.24720031,01744C5370
0.11847089,0.05465828,0.55400157,-0.40689087,-0.3596653,-0.13253006,0.16706069,0.26083955,-0.8078582,0.830588,0.2932472,0.13624048,-0.29445156,0.23252994,0.46890166,0.29259726,019E31E4C6
-0.110220455,-0.14999042,0.41393027,0.04028542,1.0191464,-0.69582975,-0.015853997,0.52947205,0.25451648,0.012790937,-0.4165068,-0.45430827,0.19069842,0.0064714067,0.0749625,-0.13940142,01AAD3CFFA
0.15500343,-0.53044254,-0.95619667,-0.80857825,0.1755906,-0.05218929,-0.22879507,0.82839394,0.0031027924,-0.4799385,-0.28930458,-0.23174974,-0.04349617,-0.41397536,-0.1986449,0.086758256,01AB37892D
-0.05887857,0.53629684,0.6865734,-0.18057972,0.38516778,-1.0712632,-0.08884442,0.08136001,0.741879,0.020657413,-0.2573784,-0.43091002,0.49895188,0.2999619,-0.3277085,0.4651745,01B82F195A
-0.40539947,0.26392612,-0.112814814,0.09695792,0.100707956,-0.51907605,0.26721126,-0.3515343,-0.14858548,-0.18418801,0.31585222,0.62803173,0.7214218,0.7586547,-0.18709266,0.07065289,01CCBE28E0
-0.14575776,0.31274143,0.5970625,0.073838964,0.14637879,0.35866356,0.09409852,0.6911234,-0.16053478,-0.03465049,0.10739009,-0.14615999,0.40154842,-0.56713647,0.43103293,0.19101745,01D70FA491
-0.457272,-0.043991093,-0.039988905,0.07836616,-0.5939946,0.69850254,-0.16333172,0.013312066,-0.46820173,-0.29012555,-0.2017141,-0.20540719,-0.053640157,-0.7419261,0.36436635,-0.20932838,01DB89157C
0.34737054,-0.17717555,-0.17565072,-0.35835278,-0.11452429,-0.07481226,-0.010228943,0.6924088,-0.23607674,1.3048941,0.0446921,0.6225929,0.6895927,0.17656705,-0.14531104,0.312873,01EBAA3D0F
-0.10145358,-0.1584937,0.40557355,0.55433875,0.4360931,-0.13900104,0.22273964,0.00907472,-0.0044900253,-0.21918198,0.002787955,-0.1565507,0.16039826,-0.41140047,-0.37125635,-0.5392199,01EDD97C21
-0.0943192,-0.06192234,0.5421646,-0.024425982,0.18026242,0.10480274,0.1767131,0.21372066,0.006960798,-0.11262704,-0.10295071,-0.0022645593,-0.032842252,0.24308494,0.23382762,0.4848143,01F74A3D59
0.40931633,-0.105383754,-0.25339505,-0.41351718,-0.47521743,-0.09603484,-0.55998915,-0.36931464,-0.5434748,0.7759688,0.38888833,0.0998691,0.37566403,-0.41453764,-0.75770086,0.748691,01FD0FCC3D
-0.15493298,-0.13221274,0.66259265,-0.036287967,0.06920623,0.20281939,0.28569788,0.18709888,-0.032947652,-0.18303761,0.010884941,-0.05547215,-0.013468414,0.15743226,0.28749797,0.66727453,01FDC9FAEA
0.04548216,0.17801392,-0.11236286,0.03743499,-0.3480888,0.661459,0.21570514,0.51094514,0.26551828,-0.12783685,0.65635324,-0.23702124,0.013773051,-0.01571078,0.3615406,0.3753968,02080D3457
-0.3599225,0.3221145,0.10476608,-0.08852179,0.13705045,-0.49712312,-0.4027157,0.25122103,-0.119164824,0.020708963,0.19347279,0.09843934,-0.3969878,-0.2693022,-0.79408926,-0.40328833,0220D6AA93
0.27524146,-0.057869624,0.5071236,0.27914566,-0.083989546,0.24778228,0.1049604,0.48081905,0.20060723,0.028358772,-0.567541,-0.011795836,-0.3363351,-0.45691866,0.508679,0.29920894,022FF198C7
-0.21815255,-0.13968658,0.76490486,-0.015011895,0.08183145,0.25217557,0.3730848,0.1761023,-0.07441228,-0.25140968,0.062914096,-0.09110746,0.04536872,0.066356845,0.31325835,0.70662856,023652A43E
0.44508088,0.08136484,-0.03866121,0.6328539,0.6246198,-0.094347164,0.7799529,-0.8373859,-0.38859907,0.045000114,-0.56900203,0.12252306,-0.2711787,0.22992733,-0.23737033,0.05141757,0239C4D2D3
-0.3858077,0.21482527,0.4552859,-0.34564543,0.12533021,0.040124238,0.48463452,0.47802284,-0.31689695,-0.090720885,-0.3345416,0.08757085,-0.11694652,0.032546975,0.17547087,0.9657509,0255C174CC
0.3831924,-0.019280024,0.24124847,0.0771931,-0.037202504,0.0716758,-0.004104417,0.24131873,-0.19830918,0.6182457,-0.07025415,0.23723218,0.6015848,-0.26534075,0.06395036,0.30379495,025B95F178
0.6832301,0.28829616,-1.219692,0.52812886,0.8577776,0.7797099,-0.123606265,-0.30183116,-0.18791248,0.43221697,-0.12348211,0.34622273,-0.9891691,0.76581,0.2730593,0.015927028,02621706D5
-0.14913887,-0.5598758,-0.17539787,-0.20805465,0.32507637,-0.45809466,0.26163858,0.17418632,0.29355454,0.19512269,-0.0022085607,-0.022231242,-0.33620986,-0.42314467,0.08717361,-0.51435775,026EBC2ED1
0.35529068,-0.5912925,-0.5681839,-0.2931081,-0.009767257,-0.34883642,0.45538032,-0.057530496,-0.52521473,0.10060187,0.8009331,0.4013337,-0.33682516,-0.22003922,0.15478455,0.0877071,02826B57BE
0.30224583,0.3002585,-0.16775289,-0.22988392,0.45854187,0.23415086,-0.117090076,-0.49931908,-0.1927468,-0.124365486,-0.106263205,-0.31149834,-0.29666027,0.12760308,0.10717749,0.060826626,0286E31425
0.3866771,0.084455326,0.3056328,0.1365244,-0.07217215,0.159099,-0.02679034,0.24867369,-0.21058509,0.55330557,-0.07052481,0.1772336,0.6469838,-0.2872308,0.09445962,0.21670103,02886FCA36
0.22158176,0.017117068,0.18666235,-0.4452978,-0.25924796,0.53801316,-0.08691612,0.027895302,0.35556695,0.039773624,0.09469192,-0.21643765,0.007585464,-0.5448767,-0.381175,0.14790834,029F2B4A59
0.6050783,0.26814735,-1.1416528,0.55819094,0.8118286,0.8671862,-0.17015912,-0.19284241,-0.16312476,0.39166975,-0.05753822,0.29460055,-0.9708613,0.67981935,0.23661478,-0.13619971,02A32AE992
0.18490025,-0.24074423,-0.025967956,0.21837427,0.2397626,0.10160321,-0.07723367,0.38188303,0.3218036,0.11270838,-0.18978971,-0.6071509,-0.6239855,1.1759541,-0.40544552,-0.17817695,02A5043FF7
-0.45820516,0.1122905,-0.08963159,-0.23063865,-0.029875178,-0.6719475,0.47388092,-0.23552994,0.22209263,-0.42831245,0.8367444,0.5048326,0.24719563,0.46756205,-0.064124845,0.11683624,02B146CDF2
-0.26216397,0.40747795,0.12782913,-0.12527663,0.20051867,0.03410923,0.14973047,0.30227518,-0.33705723,-0.46685112,0.31338054,0.11007678,-0.0012556612,-0.10806839,0.3097287,-0.41023624,02B9A2CC01
0.44533193,-0.20153487,-0.24673292,-0.385323,-0.15839383,-0.15984707,0.031806715,0.6171197,-0.2905494,1.4964479,0.03332539,0.66532195,0.65482986,0.13766593,-0.11409737,0.35961324,02EECADFE6
0.47683144,0.12134065,0.3247379,0.25374407,0.0071220472,0.23925693,-0.0145116635,0.24724995,-0.25094134,0.5611444,-0.10862899,0.14873344,0.7165101,-0.29164517,0.1877956,0.18746474,02FE4FD151
-0.20988858,0.34224012,0.1758717,0.34021878,0.594247,-1.421779,-0.17026843,0.5194045,-0.21685037,-0.88618875,-0.6254201,-0.6417014,0.25914904,-0.7442398,0.011792065,-0.31919974,0305234DDB
0.20679182,-0.2412627,-0.15671068,-0.034662522,-0.19358563,0.05474536,-0.10738896,-0.18017292,-0.17621443,0.5872553,0.17445946,-0.06349279,0.31157666,-0.58170277,-0.32415628,0.5772159,0335548947
0.6178158,0.60695076,0.09545615,-0.12317975,0.096981116,-0.72819656,0.31499714,0.26515195,0.1631205,-0.037147723,-0.1768406,-0.2693303,-0.08259039,-0.16301844,0.5310853,0.007702559,03360C97C5
-0.8321783,0.66175765,0.1184948,-0.27067733,0.23672235,0.2994923,0.23219134,0.9227992,-0.5714822,-0.08024808,0.3465231,-0.34164286,0.11395571,0.573694,0.076683894,0.1183497,033F56E9A8
0.27382937,-0.401643,0.18201682,-0.70445806,-0.13167769,0.09124682,0.3772024,0.21701112,0.2743706,0.12369061,-0.49443802,0.24668452,-0.45402285,-0.04947217,-0.73048925,-0.70875156,035ADB2AA8
-0.000121213496,-0.104966626,0.40934408,0.60067546,0.36516288,0.083519034,0.043784387,0.16469446,-0.19903927,-0.25454372,-0.0051430166,-0.050649397,0.26911712,-0.7721586,-0.65478086,-0.2910171,036B3FD49B
0.060617987,0.58222044,-0.4037628,0.16910718,-0.3004901,-0.62964845,0.0057733245,-0.02812381,0.10647379,0.083625935,0.22315107,0.79931176,-0.11231304,-0.018722652,0.47494686,0.25082287,037D7CDBAE
-0.3095933,0.2393781,0.2003344,-0.35647088,-0.11022051,-0.008494537,0.59240687,0.25141534,-0.41216335,-0.08182529,-0.27193162,0.023464032,0.15665033,-0.1532113,-0.11255355,0.5413628,03803D77FE
0.13851228,0.51231194,0.46182588,0.19758153,-0.40924844,0.5420368,0.21473983,0.19810785,-0.2823644,-0.054260857,0.12052242,-0.25002718,0.542213,-0.17049682,0.76818615,-0.31556872,039869F9F9
